freq_GHz,wavelength_m,R,T,A_raw,A,RL_dB
1.0000000000e+00,2.9979245800e-01,9.9971418313e-01,2.8414938538e-04,1.6674799851e-06,1.6674799851e-06,-1.2414642988e-03
1.2833333333e+00,2.3360451273e-01,9.9971144940e-01,2.8502203458e-04,3.5285615187e-06,3.5285615187e-06,-1.2533401511e-03
1.5666666667e+00,1.9135688809e-01,9.9970745406e-01,2.8611385246e-04,6.4320924751e-06,6.4320924751e-06,-1.2706967735e-03
1.8500000000e+00,1.6204997730e-01,9.9970195510e-01,2.8742670845e-04,1.0618192556e-05,1.0618192556e-05,-1.2945854905e-03
2.1333333333e+00,1.4052771469e-01,9.9969470409e-01,2.8896283776e-04,1.6333070513e-05,1.6333070513e-05,-1.3260857177e-03
2.4166666667e+00,1.2405205159e-01,9.9968544502e-01,2.9072483425e-04,2.3830147316e-05,2.3830147316e-05,-1.3663098285e-03
2.7000000000e+00,1.1103424370e-01,9.9967391317e-01,2.9271564141e-04,3.3371187791e-05,3.3371187791e-05,-1.4164080540e-03
2.9833333333e+00,1.0048909207e-01,9.9965983402e-01,2.9493854124e-04,4.5227439470e-05,4.5227439470e-05,-1.4775734079e-03
3.2666666667e+00,9.1773201429e-02,9.9964292208e-01,2.9739714039e-04,5.9680776265e-05,5.9680776265e-05,-1.5510466269e-03
3.5500000000e+00,8.4448579718e-02,9.9962287980e-01,3.0009535328e-04,7.7024842925e-05,7.7024842925e-05,-1.6381211060e-03
3.8333333333e+00,7.8206728174e-02,9.9959939642e-01,3.0303738145e-04,9.7566194556e-05,9.7566194556e-05,-1.7401478029e-03
4.1166666667e+00,7.2824078866e-02,9.9957214689e-01,3.0622768858e-04,1.2162542312e-04,1.2162542312e-04,-1.8585400742e-03
4.4000000000e+00,6.8134649545e-02,9.9954079077e-01,3.0967097047e-04,1.4953826040e-04,1.4953826040e-04,-1.9947783954e-03
4.6833333333e+00,6.4012624484e-02,9.9950497124e-01,3.1337211895e-04,1.8165664366e-04,1.8165664366e-04,-2.1504149024e-03
4.9666666667e+00,6.0360897584e-02,9.9946431409e-01,3.1733617899e-04,2.1834972683e-04,2.1834972683e-04,-2.3270776763e-03
5.2500000000e+00,5.7103325333e-02,9.9941842689e-01,3.2156829781e-04,2.6000481556e-04,2.6000481556e-04,-2.5264746757e-03
5.5333333333e+00,5.4179359880e-02,9.9936689814e-01,3.2607366476e-04,3.0702819995e-04,3.0702819995e-04,-2.7503971960e-03
5.8166666667e+00,5.1540250659e-02,9.9930929671e-01,3.3085744088e-04,3.5984585288e-04,3.5984585288e-04,-3.0007227150e-03
6.1000000000e+00,4.9146304590e-02,9.9924517137e-01,3.3592467642e-04,4.1890395564e-04,4.1890395564e-04,-3.2794169515e-03
6.3833333333e+00,4.6964875927e-02,9.9917405058e-01,3.4128021512e-04,4.8466920546e-04,4.8466920546e-04,-3.5885349351e-03
6.6666666667e+00,4.4968868700e-02,9.9909544257e-01,3.4692858336e-04,5.5762885138e-04,5.5762885138e-04,-3.9302208480e-03
6.9500000000e+00,4.3135605468e-02,9.9900883574e-01,3.5287386268e-04,6.3829039637e-04,6.3829039637e-04,-4.3067063631e-03
7.2333333333e+00,4.1445961935e-02,9.9891369956e-01,3.5911954387e-04,7.2718089394e-04,7.2718089394e-04,-4.7203071586e-03
7.5166666667e+00,3.9883697295e-02,9.9880948588e-01,3.6566836096e-04,8.2484575766e-04,8.2484575766e-04,-5.1734172479e-03
7.8000000000e+00,3.8434930513e-02,9.9869563091e-01,3.7252210341e-04,9.3184699150e-04,9.3184699150e-04,-5.6685007156e-03
8.0833333333e+00,3.7087726763e-02,9.9857155786e-01,3.7968140524e-04,1.0487607390e-03,1.0487607390e-03,-6.2080804079e-03
8.3666666667e+00,3.5831767888e-02,9.9843668045e-01,3.8714550966e-04,1.1761740394e-03,1.1761740394e-03,-6.7947230826e-03
8.6500000000e+00,3.4658087630e-02,9.9829040732e-01,3.9491200874e-04,1.3146806702e-03,1.3146806702e-03,-7.4310204882e-03
8.9333333333e+00,3.3558857239e-02,9.9813214749e-01,4.0297655780e-04,1.4648759509e-03,1.4648759509e-03,-8.1195658138e-03
9.2166666667e+00,3.2527210633e-02,9.9796131706e-01,4.1133256520e-04,1.6273503776e-03,1.6273503776e-03,-8.8629249439e-03
9.5000000000e+00,3.1557100842e-02,9.9777734718e-01,4.1997085932e-04,1.8026819632e-03,1.8026819632e-03,-9.6636019589e-03
9.7833333333e+00,3.0643181397e-02,9.9757969350e-01,4.2887933566e-04,1.9914271630e-03,1.9914271630e-03,-1.0523998363e-02
1.0066666667e+01,2.9780707748e-02,9.9736784712e-01,4.3804258880e-04,2.1941102867e-03,2.1941102867e-03,-1.1446365603e-02
1.0350000000e+01,2.8965454879e-02,9.9714134714e-01,4.4744153557e-04,2.4112113212e-03,2.4112113212e-03,-1.2432750551e-02
1.0633333333e+01,2.8193648088e-02,9.9689979483e-01,4.5705303850e-04,2.6431521323e-03,2.6431521323e-03,-1.3484933833e-02
1.0916666667e+01,2.7461904550e-02,9.9664286939e-01,4.6684954048e-04,2.8902810674e-03,2.8902810674e-03,-1.4604361094e-02
1.1200000000e+01,2.6767183750e-02,9.9637034522e-01,4.7679872488e-04,3.1528560526e-03,3.1528560526e-03,-1.5792067657e-02
1.1483333333e+01,2.6106745254e-02,9.9608211041e-01,4.8686321775e-04,3.4310263692e-03,3.4310263692e-03,-1.7048597395e-02
1.1766666667e+01,2.5478112578e-02,9.9577818625e-01,4.9700035158e-04,3.7248134008e-03,3.7248134008e-03,-1.8373917139e-02
1.2050000000e+01,2.4879042158e-02,9.9545874722e-01,5.0716201272e-04,4.0340907676e-03,4.0340907676e-03,-1.9767328501e-02
1.2333333333e+01,2.4307496595e-02,9.9512414100e-01,5.1729459608e-04,4.3585643996e-03,4.3585643996e-03,-2.1227379576e-02
1.2616666667e+01,2.3761621506e-02,9.9477490766e-01,5.2733909211e-04,4.6977532453e-03,4.6977532453e-03,-2.2751779670e-02
1.2900000000e+01,2.3239725426e-02,9.9441179722e-01,5.3723133058e-04,5.0509714531e-03,5.0509714531e-03,-2.4337320781e-02
1.3183333333e+01,2.2740262301e-02,9.9403578461e-01,5.4690240363e-04,5.4173129881e-03,5.4173129881e-03,-2.5979810170e-02
1.3466666667e+01,2.2261816188e-02,9.9364808097e-01,5.5627928710e-04,5.7956397458e-03,5.7956397458e-03,-2.7674018761e-02
1.3750000000e+01,2.1803087855e-02,9.9325014005e-01,5.6528567240e-04,6.1845742753e-03,6.1845742753e-03,-2.9413650353e-02
1.4033333333e+01,2.1362882993e-02,9.9284365877e-01,5.7384301321e-04,6.5824982124e-03,6.5824982124e-03,-3.1191336569e-02
1.4316666667e+01,2.0940101839e-02,9.9243057079e-01,5.8187178026e-04,6.9875574331e-03,6.9875574331e-03,-3.2998662061e-02
1.4600000000e+01,2.0533730000e-02,9.9201303234e-01,5.8929290495e-04,7.3976747590e-03,7.3976747590e-03,-3.4826223675e-02
1.4883333333e+01,2.0142830325e-02,9.9159339985e-01,5.9602937866e-04,7.8105707673e-03,7.8105707673e-03,-3.6663726026e-02
1.5166666667e+01,1.9766535692e-02,9.9117419915e-01,6.0200796102e-04,8.2237928913e-03,8.2237928913e-03,-3.8500114278e-02
1.5450000000e+01,1.9404042589e-02,9.9075808651e-01,6.0716093702e-04,8.6347525552e-03,8.6347525552e-03,-4.0323742939e-02
1.5733333333e+01,1.9054605381e-02,9.9034780256e-01,6.1142785273e-04,9.0407695908e-03,9.0407695908e-03,-4.2122577212e-02
1.6016666667e+01,1.8717531197e-02,9.8994612016e-01,6.1475715274e-04,9.4391226833e-03,9.4391226833e-03,-4.3884421219e-02
1.6300000000e+01,1.8392175337e-02,9.8955578824e-01,6.1710764039e-04,9.8271041203e-03,9.8271041203e-03,-4.5597165243e-02
1.6583333333e+01,1.8077937166e-02,9.8917947358e-01,6.1844968626e-04,1.0202076732e-02,1.0202076732e-02,-4.7249042424e-02
1.6866666667e+01,1.7774256403e-02,9.8881970323e-01,6.1876611998e-04,1.0561530650e-02,1.0561530650e-02,-4.8828884136e-02
1.7150000000e+01,1.7480609796e-02,9.8847880984e-01,6.1805275581e-04,1.0903137406e-02,1.0903137406e-02,-5.0326362836e-02
1.7433333333e+01,1.7196508107e-02,9.8815888250e-01,6.1631852240e-04,1.1224798980e-02,1.1224798980e-02,-5.1732211568e-02
1.7716666667e+01,1.6921493396e-02,9.8786172515e-01,6.1358518894e-04,1.1524689657e-02,1.1524689657e-02,-5.3038410454e-02
1.8000000000e+01,1.6655136556e-02,9.8758882432e-01,6.0988670361e-04,1.1801288977e-02,1.1801288977e-02,-5.4238332439e-02
